videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,3420,2393,2393,4123,2492,4432,2447,2447,2532,3420,4478,544,2197,412,2118,412,5967,5364,569,5393
01HmDgRX,2655,2655,3430,2937,4827,5663,3134,2937,484,5137,2208,4453,5663,4331,5655,1492,2800,4971,2118,2208
01MDIjwg,1937,210,5524,4496,3616,1937,1753,3583,4496,5188,210,5230,450,189,3626,1560,3664,818,818,2025
02Dnm154,4209,2009,2418,5701,2271,2269,1580,3324,4597,1856,3939,968,5701,2254,2929,2010,1580,4417,2577,2418
02I1exYc,5670,4593,5612,298,5854,3520,5612,6000,1522,5475,433,4055,5582,2345,4734,148,3763,4734,3911,5142
02J5ABU1,1975,5986,667,1658,4287,2763,1174,1569,1089,1567,4352,3300,2697,3519,669,3053,4451,3912,4258,1775
02nzMLRu,2646,1166,297,1610,3926,5602,833,2696,3196,5842,4499,5264,833,82,4819,3157,1710,5867,2567,5818
03JDeH1Y,4452,1866,3590,4254,3259,3665,303,1992,4290,4351,5811,4008,3590,5903,3926,5264,2565,3812,834,298
03iWqftg,2344,1442,3640,2644,4016,5535,5283,2344,4140,1713,4824,237,5988,292,4,3957,2547,4140,1112,3067
03trKEHD,4582,5265,1810,2344,5746,1459,4936,4484,240,5163,47,950,3627,902,2359,160,5613,636,5730,3210
04Bz1rtE,4087,2095,4087,5431,5875,1325,1453,771,2274,1966,5823,1745,979,5873,5851,3933,4321,5873,2834,5310
04f6m3BF,4752,672,307,307,228,3582,3471,2904,5562,1396,3242,547,3921,3921,3873,3034,568,5338,2049,2858
04v6H7X9,1553,3944,1553,618,2801,1359,4239,591,3151,4239,2287,3681,3345,4096,1451,975,4860,4533,2287,5880
056nP9o7,1381,2913,3345,5807,2021,5623,385,3163,4344,1806,819,4022,1296,966,4550,4994,5385,1721,5136,4206
05E2iJoG,5543,2872,5761,2902,2179,3526,2759,4802,2155,4774,5022,3948,2832,5135,5547,5886,70,1577,711,916
05lMWEKB,5956,1079,1307,4889,1307,2878,1286,1152,5124,2836,45,2662,4889,1486,1286,2156,1486,79,4028,925
05xeuoSX,1293,1909,1084,658,4142,1073,4408,3192,3898,1745,3464,5175,1206,3192,1757,4941,5993,1924,5592,3930
06UxtWqT,1424,3068,5463,110,3897,3632,128,3472,597,5960,4964,3601,3472,5852,5960,3627,3921,73,5677,3068
06gZx83y,4529,74,3466,5730,5065,1965,3466,4529,917,4141,5301,3089,5485,118,4484,548,2643,2449,1502,3210
07LhF2BP,3242,1416,4777,1365,5729,1408,5882,3807,3784,1170,3,150,568,4777,3465,4230,4824,2711,5148,730
07SwazrD,283,17,905,3795,4791,1816,5186,5651,1828,4414,5174,3653,5645,5782,4794,1974,2632,233,2861,3361
07qf5K8H,2595,3500,3117,4079,637,2014,3174,1934,1644,4732,1754,3273,459,3226,4440,596,3397,3226,5585,2333
08ErV6Xg,3115,3115,1392,3386,5646,3386,2006,2006,5077,4125,5221,18,1509,4966,538,4739,4313,1392,1496,2209
08JsCOaT,5173,198,3979,1155,2447,5173,4386,2935,583,1937,204,4329,3502,1753,3229,2447,1680,3378,4758,2625
08sTc3wn,786,5357,1488,2992,2214,99,3152,5751,5416,2815,2215,1253,2179,4397,3527,4397,1488,1253,5416,1903
09CoMjl3,2037,749,1029,4312,1719,5955,581,3762,5306,5192,1719,3262,1062,620,5633,1360,3762,5704,5039,5808
09ofrKBW,3872,5767,1286,1307,4875,2147,3278,2182,4993,2380,1286,2288,1307,5513,142,403,2484,2156,4996,5767
0AXQeD8I,1240,3804,4263,2245,2705,4534,2828,5254,2828,5131,2966,5504,1282,10,2705,36,4205,713,3103,3992
0BHSGQDa,4769,1520,60,3316,4791,5682,4769,1520,2212,3982,4791,5682,3729,4454,2212,5333,3171,4851,5679,3708
0BaDgyY2,3246,4724,4724,1336,1592,2930,3134,1035,1968,4610,1643,4794,2779,2727,2947,1524,1828,2930,3312,3246
0Bi8sx1W,3048,153,3378,1449,3822,614,3035,198,3503,4232,3377,614,4897,198,1541,3837,1197,422,2688,3365
0BkN9sC8,5859,3433,3031,733,3405,4433,1336,4610,3412,1586,1765,3708,3708,994,3000,5782,469,60,5928,4851
0BvjOb2g,793,1863,2555,5668,5668,5483,3980,2165,857,2665,2495,5567,2549,5445,5559,2253,4980,3048,2610,3252
0C4tJAmp,2862,2803,1587,4145,5741,2939,5243,735,1289,3394,2669,5889,2278,552,748,5741,4356,2843,3959,5107
0CNgmAMR,3221,4418,4647,5497,2470,602,3010,4780,5519,868,5585,366,3212,4418,637,2071,3524,3478,4348,3409
0CVQESLj,5012,5012,1283,3141,5568,5568,531,4084,1283,3462,2909,3245,4421,1022,1507,5106,2025,5055,4084,2694
0Ch9Lprl,2754,1100,3072,1618,5523,1364,1127,5280,5769,1202,2559,5821,5821,102,5523,992,1647,4771,5769,2222
0Cmnfo2J,5928,60,190,555,797,5221,1336,5420,5352,5333,5292,4044,1677,3137,5113,3879,4739,5105,5113,2898
